;; okuri-ari entries.
ゆうめいさかいをことにs /幽明境を異に;[慣用]/
こぶしでかたりあu /拳で語り合;[慣用]/
こぶしでかたりあi /拳で語り合;[慣用]/
こぶしでかたりあe /拳で語り合;[慣用]/
こぶしでかたりあt /拳で語り合;[慣用]/
こぶしでかたりあw /拳で語り合;[慣用]/
つごうがいi /都合が良い;[慣用]/
つごうがよi /都合が良い;[慣用]/
はらがたt /腹が立;[慣用]/
はらをたt /腹を立;[慣用]/
おなじめにあu /同じ目に合/
おなじめにあe /同じ目に合/
おなじめにあw /同じ目に合/
おなじめにあi /同じ目に合/
おなじめにあt /同じ目に合/
いたいめをみr /痛い目を見/
いたいめをみt /痛い目を見/
いたいめをみn /痛い目を見/
いたいめをみm /痛い目を見/
いたいめにあu /痛い目に合/
いたいめにあe /痛い目に合/
いたいめにあw /痛い目に合/
いたいめにあi /痛い目に合/
いたいめにあt /痛い目に合/
;; okuri-nasi entries.
がんじーがじょそうをつけてなぐるれべる /ガンジーが助走をつけて殴るレベル;[慣用]/
がんじーがじょそうつけてなぐるれべる /ガンジーが助走つけて殴るレベル;[慣用]/
がんじーでもじょそうつけてなぐるれべる /ガンジーでも助走つけて殴るレベル;[慣用]/
がんじーでもじょそうをつけてなぐるれべる /ガンジーでも助走をつけて殴るレベル;[慣用]/
がんじーもじょそうつけてなぐるれべる /ガンジーも助走つけて殴るレベル;[慣用]/
がんじーもじょそうをつけてなぐるれべる /ガンジーも助走をつけて殴るレベル;[慣用]/
